,K00613,K18966,K18592,K15372,K15551,K01442,K03119,K10712,K10831,K15552,K23235,K01594,K00659,K01580,K03851,K00681
kofamscan/ko_tables/taurine/MMETSP1419_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1421_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1396_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0404_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP0041_clean.csv,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP1425_clean.csv,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
kofamscan/ko_tables/taurine/MMETSP0308_clean.csv,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
kofamscan/ko_tables/taurine/MMETSP0910_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP1432_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0259_clean.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP1176_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1465_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kofamscan/ko_tables/taurine/MMETSP1104_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP0004_clean.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1172_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
kofamscan/ko_tables/taurine/MMETSP1055_clean.csv,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP1403_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kofamscan/ko_tables/taurine/MMETSP0574_clean.csv,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP0202_clean.csv,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0796_clean.csv,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
kofamscan/ko_tables/taurine/MMETSP0797_clean.csv,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1127_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1413_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0991_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP1474_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP1406_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1123_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0930_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kofamscan/ko_tables/taurine/MMETSP0573_clean.csv,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1013_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
kofamscan/ko_tables/taurine/MMETSP1080_clean.csv,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
kofamscan/ko_tables/taurine/MMETSP1464_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0891_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1169_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1128_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1155_clean.csv,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP0149_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1100_clean.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0942_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP1137_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0973_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP0413_clean.csv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP0200_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1047_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
