,K10111,K10112,K10227,K10228,K10229,K00008,K19270,K24204,K00009,K00045,K02798,K02800,K02000,K02001,K02002,K05845,K05846,K05847,K00130,K14085,K18897,K24071,K18896,K13042,K00108,K00315,K00544,K00314,K00304,K00303,K00309,K00302,K00306,K00301
K02798,0.39270755728395845,0.43121267654310075,0.3444329024494401,0.37819917608393133,0.2967447942342704,0.0016885518546347915,-0.01864197625813221,-0.16271828119212414,0.41296452800198974,0.3262733813890412,1,0.4870339839096054,0.36962360363973656,0.3550890043471478,0.3642762183712567,0.4300527225890449,0.4431561126593576,0.3284613069881707,0.2347113977392615,-0.1368585339257768,0.14675105706696737,0.17201464559688487,0.11993052824521716,0.0006900500325353044,0.14654844952894894,-0.10598872481329635,-0.14030068539657178,-0.16540447507669398,0.36732108864713975,0.29477554177184123,0.09317891641747082,0.4114547723299948,0.015970800974943054,0.3107936629991427
K02800,0.5332930555975055,0.7614192512311788,0.4844500755907225,0.4703974016472114,0.452368770102339,-0.13554656994184297,-0.10179043996221665,-0.37076660557362084,0.5781921955235031,0.43266414147466814,0.4870339839096054,1,0.764467207875911,0.7611250544333517,0.7244505436599108,0.7210650899060826,0.7621759749100121,0.5900780713721849,0.20908009612809864,-0.3637362249027447,0.2839546820611989,0.34217372443434557,0.42209040138893816,0.16395028237042097,-0.05722806421827408,-0.23803184426980992,-0.34051134781861697,-0.34427540125151374,0.5460692112326396,0.2939845051707827,0.04382662599102991,0.3586002041677129,-0.1476883153053132,0.42071581378026535
K02000,0.5570313288316885,0.7690456928259471,0.5895000828406264,0.4694990519593947,0.47066733274907296,-0.2403541063830917,-0.20255143214379775,-0.5150499851750853,0.6034362327623211,0.48965290587231464,0.36962360363973656,0.7644672078759112,1,0.9241516580193733,0.8886079132219004,0.745711592890419,0.7378546341382444,0.614243583573944,0.19322605772929405,-0.42256294830143326,0.34085455719292945,0.45924532890336167,0.5371847379559497,0.272647991736201,-0.14504737974277326,-0.3244237836776226,-0.47063227391985574,-0.46142438122648427,0.6876733729222807,0.28600752574082006,0.08067248649923554,0.4098547677067277,-0.2731904377791721,0.4406772665617304
K02001,0.5598309076300787,0.7593738575322043,0.6014072809293554,0.4977867624526247,0.4624140286006164,-0.19791806849775748,-0.1621732637796548,-0.4589121148893811,0.5745509549588379,0.4859477326547947,0.35508900434714785,0.7611250544333515,0.9241516580193733,1,0.9112342711714153,0.7372945131407642,0.7323494932435806,0.6008209198499537,0.1866075619751536,-0.4064953198529158,0.30128768789897625,0.44019281552187656,0.5200607466841395,0.23334033282367683,-0.15984792466548853,-0.2971130913703113,-0.42187452199081404,-0.43009730844238053,0.7111065797132409,0.32403989137318384,0.08124727775159249,0.4167538436041861,-0.22604986162786186,0.44229564766053225
K02002,0.5404873017691371,0.7745999055827125,0.6038066608520863,0.4570511133931353,0.4485016631868417,-0.19550318123907665,-0.1767605422354215,-0.46810558541357583,0.5478097617661675,0.47938426059279776,0.3642762183712566,0.7244505436599108,0.8886079132219004,0.9112342711714153,1,0.7741804859110257,0.7566679108303996,0.5405467886521799,0.17501816302191045,-0.3590900042653131,0.2634252443697432,0.3851234239594584,0.46416579143876213,0.2512101885284747,-0.21209945352815793,-0.3291932877948545,-0.42908066523795685,-0.45267348056974765,0.731237501896313,0.30216450492614816,0.060574100502045404,0.42391985031696566,-0.25988828212564347,0.4160109050983731
K05845,0.4901739148197318,0.7452445752438281,0.4588907084543014,0.3931534937781508,0.41464885153277375,-0.055738944867562805,-0.12188186252397051,-0.28705600107028045,0.4671635575352341,0.40754586660027725,0.430052722589045,0.7210650899060826,0.7457115928904191,0.7372945131407642,0.7741804859110257,1,0.880350914035783,0.5694513423755773,0.22162049488568092,-0.22797091012374823,0.08178919919341167,0.3180407089617506,0.3450190842202206,0.1583645901307015,-0.005478315258192724,-0.16570540386833685,-0.2654206015672169,-0.2506470788312213,0.5954070080035841,0.2789968887711169,0.062085592671530056,0.39700670605650623,-0.09554029735360371,0.386758715260559
K05846,0.5289756165188828,0.7568357776040083,0.48824678261737653,0.42294641792669346,0.4500433053392646,-0.10621653160829077,-0.13983742903493945,-0.3245511434224438,0.4863908864838417,0.4106661101492187,0.44315611265935767,0.7621759749100121,0.7378546341382444,0.7323494932435806,0.7566679108303996,0.880350914035783,1,0.561889634229221,0.23824674696243467,-0.2402817769839066,0.12704912385884168,0.2718981338062873,0.339326910040167,0.17349053206910114,-0.015159925172391097,-0.19635585201808814,-0.2875439010342369,-0.2800366496553307,0.6559708967632086,0.28118226114079287,0.07566270532653499,0.4098659334877554,-0.1072213788680272,0.4098504329645653
K05847,0.48820752467988077,0.6056718295492091,0.4063907496276556,0.3877585551970433,0.41696675447814907,-0.3389894892769962,-0.03991282354795118,-0.4787747198428083,0.6059831209867642,0.4829553306954668,0.32846130698817066,0.5900780713721848,0.6142435835739442,0.6008209198499537,0.54054678865218,0.5694513423755773,0.561889634229221,1,-0.027468128149481203,-0.5214417701288824,0.5058870811677723,0.31264040574139385,0.4664524033636558,0.10022310018411255,-0.0723433428422594,-0.3084673086028962,-0.49616061245187637,-0.43341764288814694,0.388483292626221,0.17836117671896073,0.16942686194932166,0.34568666581133534,-0.29721472866708193,0.3949981999261563
K00130,0.21234621958522212,0.14001338325648294,0.29166578970517454,0.15718326470200616,0.2369860731054952,0.37671297137616694,0.11099765283350177,0.15748826391152657,0.11982687373912852,0.14068728543356265,0.23471139773926153,0.20908009612809864,0.19322605772929408,0.18660756197515357,0.17501816302191048,0.22162049488568092,0.23824674696243464,-0.027468128149481203,1,0.28615211667603463,-0.10453882721010684,0.08079460986813976,-0.018241232292752423,0.023706128957409194,0.42341141882306865,0.27928219952300654,0.2746575043353436,0.2507623301961083,0.46450998417893136,0.3024470879355467,0.04861419050188329,0.2872587246682508,0.3583724384729564,0.17305134891538893
K14085,-0.3289235404014428,-0.38811913649592017,-0.3235974257315824,-0.3550093190975396,-0.21708367488278715,0.6705626296905177,0.2068696381424221,0.6363018319789769,-0.47524284273541845,-0.42244788170209857,-0.1368585339257768,-0.36373622490274476,-0.42256294830143326,-0.40649531985291576,-0.3590900042653131,-0.22797091012374823,-0.2402817769839066,-0.5214417701288824,0.28615211667603463,1,-0.6898852360368015,-0.3499741053180409,-0.44926290514585887,-0.10192300350779206,0.3565688027126361,0.5564799123211098,0.7606349394178875,0.7364436518032352,-0.09311120856874237,0.002039348972661935,-0.09599252925794087,-0.13810256178628585,0.600383145015245,-0.16735500862778302
