,K10111,K10112,K10227,K10228,K10229,K00008,K19270,K00007,K24204,K00009,K00045,K02798,K02800,K02000,K02001,K02002,K05845,K05846,K05847,K00130,K00499,K14085,K18897,K24071,K18896,K13042,K00108,K00315,K00305,K00544,K00314,K00304,K00303,K00309,K00302,K00306,K00301
K00045,0.06573649613336319,0.35281271677573506,0.5992534656590534,0.6628942336278119,0.6796787221558463,0.15759904152916096,0.01292060771902835,-0.01216895309950734,0.1461570567391497,-0.05910457676527637,1,-0.10311824116558475,-0.39815183117089287,0.36662396911094886,0.23972781225799114,0.20499231076969382,0.22521003160108496,0.21970461610737765,0.2567542272415299,0.5492349307602246,0.23104760716291262,-0.4099559153544009,-0.0934843569083967,-0.375246663071076,-0.1147664648151615,-0.15481708814728742,0.5091555059660352,0.2141643329822102,0.4781618518749611,0.11510355686543665,0.13702979163837498,0.05480274096286047,0.1125784062923229,-0.18947065795369997,0.19428244249593518,-0.00415271847394908,-0.031101730793530787
K02798,0.12574205855944914,-0.2833482670810376,-0.31143887808859344,-0.03251242460305496,-0.0453937593014211,0.16789744126993367,0.2692288938867316,0.031429387662655746,-0.11796670243417552,0.2762388324310722,-0.10311824116558475,1,0.2866981401165274,-0.21168779475940624,-0.20230813152203903,-0.24226700632880538,0.29329105843931963,0.0362530660385472,0.28500281877650885,-0.12637098171854638,-0.4285540460534102,0.2831198588797729,0.30819187699535505,0.597789074740579,0.31786469221601443,0.10649945302934755,-0.21037382914393848,-0.48184609183303817,-0.265078533096308,-0.4178139736442111,-0.349630962605342,-0.27615725643732875,-0.4156098398650979,-0.11118705258097353,-0.3183144595786628,0.2539777019987325,0.258921395045754
K02800,0.38807875133453124,-0.047826483905144844,-0.30231076157826997,-0.35048408681864396,-0.3546509333981749,-0.1188466239906438,-0.0017039206339324986,0.08773747400478071,-0.18208423653184774,0.40537863457094125,-0.3981518311708929,0.28669814011652733,1,-0.2871414997951828,-0.012886348444330798,0.026230564153950767,-0.03906185841808647,-0.03325731268618412,-0.031052392769370756,-0.4892453952913592,-0.2168786023211988,0.4471689748730913,0.1594373318731236,0.25597419197058435,0.19377540588529443,0.37695310718484654,-0.5315572854802959,-0.216338153785617,-0.5366140119312149,0.08265834614490855,-0.1569209298100658,0.011077818624922084,-0.20649905421508447,0.3928240374800144,-0.23969030188503448,-0.06791247682626537,0.009928492686974509
K02000,0.0985707941378336,0.7406527220609339,0.6641861711303352,0.6381363801526101,0.5792030081604669,-0.15720575242409351,-0.10160916532993258,0.00382800022603658,0.20508041452324882,0.07401789818866317,0.36662396911094886,-0.21168779475940627,-0.2871414997951828,1,0.8522218021794106,0.7273571436436308,0.21958900238200976,0.6491196840625562,0.3767539336193702,0.4078815528207914,0.5565608036438511,-0.48601411089312946,-0.05208073350418904,-0.22160635391452907,-0.14174388863525456,-0.16200718624726515,0.6875217922696626,0.5743249443035466,0.6467982338627096,0.3266674985961191,0.5504773195233045,0.4021302287683652,0.523080536888119,0.027550219637128,0.48902770692104136,-0.05898592431712524,0.08577041690217141
K02001,0.2603529338359166,0.7304034735501489,0.5503139921969912,0.48263041411735347,0.4132706266221346,-0.15078974192573824,-0.1154711652324967,-0.013630000804827217,0.17567972141738908,0.11139250030626549,0.23972781225799114,-0.20230813152203903,-0.012886348444330798,0.8522218021794106,1,0.8167889480619103,0.12120906264795805,0.641241434491061,0.31610077112519686,0.19886661846369544,0.5456050268113735,-0.27645622454547314,-0.07070236227430096,-0.13301483654516486,-0.11410574826470002,0.018641316498192097,0.5145526482883663,0.5819462744853354,0.4757853475201774,0.440937902583508,0.5834125501451595,0.5228493094373833,0.5705463941363655,0.1940011466781897,0.5013231348569877,-0.17653953813251202,0.01228086653010947
K02002,0.2683137646398174,0.6147273534733666,0.5511746721525075,0.415864405286667,0.31795899472905453,-0.07239025787342,-0.17054260796933884,0.015189096134984252,0.16806758646842707,0.046918283660987936,0.20499231076969382,-0.24226700632880538,0.026230564153950767,0.7273571436436308,0.8167889480619103,1,0.22723418936427134,0.5837061723048239,0.29293214758917857,0.11267933890970752,0.4862474720967192,-0.2396449544649903,-0.05656959759916231,-0.23496037434048647,-0.09964156178084714,-0.04624530506971189,0.4178555305568912,0.5632425429147138,0.38957604630421466,0.35600585776208526,0.6037495549789144,0.4495557129696579,0.5508773797158472,0.2860415051632729,0.45033381169276854,-0.22204052345341346,-0.06194810774298001
K05845,0.06655313276492977,-0.004101534542811946,0.19662407921925867,0.30554505448526204,0.3102752663131597,0.2695495564417186,0.22768511350995962,0.08992348150029726,0.10977071903336849,0.2694188365013384,0.22521003160108496,0.29329105843931963,-0.03906185841808648,0.21958900238200976,0.12120906264795805,0.22723418936427134,1,0.5660796670324709,0.5915000055054156,0.20274793638675911,-0.00390884500053219,-0.1123203224588875,0.1906647777118368,0.13288778024571077,0.14741503902671574,-0.08729655617100293,0.16761971525991068,-0.07902473399667473,0.1470019342359768,-0.10567645040171182,0.18803563104907528,-0.22562477290161093,-0.12053189654223205,0.009740458935830351,-0.04909729537288179,0.07541446150714992,0.061553135969760336
K05846,0.19116270704950106,0.45356365544907684,0.4000381708807564,0.4349131428948943,0.4080670890240286,0.09161322682747658,0.0005083517791093121,0.051069003015533465,0.10531875664151381,0.31069404339164836,0.21970461610737765,0.03625306603854721,-0.03325731268618412,0.6491196840625562,0.641241434491061,0.5837061723048239,0.5660796670324709,1,0.5862716959248915,0.24771433500086254,0.40632535537457015,-0.22181834792713112,-0.05249915583192981,-0.07666133420395585,-0.10837219686569527,-0.1334919601374259,0.48070351869455596,0.34574192814331695,0.4289104048682555,0.14208559820009617,0.5386443464888295,0.26103377021863844,0.3796351010610771,0.09957709367977546,0.38091786287111085,-0.07898826094027404,0.017725047227488588
K05847,0.09977280985395968,0.25435753636326935,0.3087657225490808,0.436498702557082,0.39643138803979633,0.23090504609330173,0.17830438652259123,0.06539914671884572,0.0894199469872482,0.25338699303186113,0.2567542272415299,0.2850028187765088,-0.031052392769370756,0.3767539336193702,0.31610077112519686,0.29293214758917857,0.5915000055054156,0.5862716959248915,1,0.30756003655595887,0.1560344859226526,-0.1484218156654824,0.090988504427136,0.078127523564323,0.061077739118911276,-0.18268576952755713,0.3096300727815928,0.11970791935667385,0.30821701613820796,-0.06934070814324357,0.2201615655933553,-0.044052499642147996,0.0034977739770020444,-0.042605325662003035,0.10267783409613923,0.005337907061464734,0.09067357812414033
K00130,-0.09765138975038447,0.19805365210912465,0.39668720798358653,0.4978675690654374,0.5123516347192386,0.011575038170710636,0.07508073359789479,0.10134533931759471,0.0995565238736421,-0.1389518191367228,0.5492349307602246,-0.12637098171854638,-0.4892453952913592,0.4078815528207914,0.19886661846369544,0.11267933890970752,0.20274793638675911,0.24771433500086254,0.30756003655595887,1,0.2778271226129436,-0.3667323715685042,0.020677036695856018,-0.19920007634413156,-0.052750875259345166,-0.24771775517895495,0.622225729375796,0.13491020667329764,0.3970010166667279,0.015437185044355298,0.19387504174940084,-0.10030867029534718,0.019254273119992366,-0.3467577671045291,0.06511071390557846,0.12194906802889437,0.19723971815583144
